cohort	n_independent_graph_null_draws	observed	n_as_or_more_extreme	two_sided_monte_carlo_p	null_median	null_ci_low	null_ci_high	global_moran_abs_delta_per_draw_section_median	global_moran_abs_delta_per_draw_section_median_max	mask_moran_abs_delta_per_draw_section_median	mask_moran_abs_delta_per_draw_section_median_max	input_draw_files	input_audit_files	graph_null_target
GSE278687	1000	0.4183273	0	0.000999000999000999	0.000180187018814	-0.02494607179926	0.024467082921139995	2.1385485416091504e-05	4.0484673153234896e-05	0.03517915837594473	0.05497339696736313	['GSE278687_v3_patient_graph_null_draws_batch1.tsv', 'GSE278687_v3_patient_graph_null_draws_batch2.tsv', 'GSE278687_v3_patient_graph_null_draws_batch3.tsv', 'GSE278687_v3_patient_graph_null_draws_batch4.tsv']	['GSE278687_v3_patient_graph_null_audit_batch1.tsv', 'GSE278687_v3_patient_graph_null_audit_batch2.tsv', 'GSE278687_v3_patient_graph_null_audit_batch3.tsv', 'GSE278687_v3_patient_graph_null_audit_batch4.tsv']	global outcome Moran I; mask Moran I reported as an audit, not separately calibrated
GSE277116	1000	0.4136335	0	0.000999000999000999	-4.8075796845849995e-05	-0.030159244854289998	0.03074513862831249	1.6161026346713653e-05	2.798965761346278e-05	0.027331817570455656	0.04809845744268737	['GSE277116_v3_main18_graph_null_draws_batch1.tsv', 'GSE277116_v3_main18_graph_null_draws_batch2.tsv', 'GSE277116_v3_main18_graph_null_draws_batch3.tsv', 'GSE277116_v3_main18_graph_null_draws_batch4.tsv']	['GSE277116_v3_main18_graph_null_audit_batch1.tsv', 'GSE277116_v3_main18_graph_null_audit_batch2.tsv', 'GSE277116_v3_main18_graph_null_audit_batch3.tsv', 'GSE277116_v3_main18_graph_null_audit_batch4.tsv']	global outcome Moran I; mask Moran I reported as an audit, not separately calibrated
